speed,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,forward,backward,left,right
0.0,11.98755168914795,12.27003002166748,13.25473403930664,15.256402015686035,19.115863800048828,27.45615005493164,53.5294303894043,100.0,53.52562713623047,27.44791603088379,4.218806266784668,3.992945671081543,13.185701370239258,12.165082931518555,11.837691307067871,0,0,0,0
0.7231500148773193,11.98755168914795,12.27003002166748,13.25473403930664,15.256402015686035,19.115863800048828,27.45615005493164,53.5294303894043,100.0,53.52562713623047,27.44791603088379,4.218806266784668,3.992945671081543,13.185701370239258,12.165082931518555,11.837691307067871,1,0,0,0
7.834819793701172,11.985026359558105,12.268811225891113,13.254096984863281,15.256035804748535,19.115638732910156,27.4560546875,53.52937698364258,100.0,53.52565002441406,27.448001861572266,4.218806266784668,3.7595112323760986,13.186345100402832,12.166329383850098,11.839137077331543,1,0,0,0
11.910642623901367,11.957867622375488,12.248191833496094,13.240092277526855,15.247984886169434,19.110811233520508,27.454570770263672,53.527442932128906,100.0,53.527626037597656,27.449504852294922,19.096675872802734,15.22148609161377,13.200318336486816,2.6980271339416504,2.6303818225860596,1,0,0,0
15.771530151367188,11.94360637664795,12.239577293395996,13.23550796508789,15.244487762451172,19.10922622680664,27.453994750976562,53.52539825439453,100.0,53.529727935791016,27.450075149536133,19.0982723236084,15.224958419799805,13.204907417297363,12.195167541503906,11.878520011901855,1,0,0,0
19.54287338256836,11.933051109313965,12.232217788696289,13.229879379272461,15.241029739379883,19.10724639892578,27.453645706176758,53.51936340332031,100.0,53.53571319580078,27.450408935546875,19.100244522094727,15.228428840637207,13.210519790649414,12.202411651611328,11.889105796813965,1,0,0,0
23.450101852416992,11.92428970336914,12.22591781616211,13.226156234741211,15.23870849609375,19.105859756469727,27.453414916992188,53.508487701416016,100.0,53.546688079833984,27.45065689086914,19.101634979248047,15.23075008392334,13.214254379272461,12.208690643310547,11.89772891998291,1,0,0,0
25.533645629882812,11.918031692504883,12.221834182739258,13.223437309265137,15.23692512512207,19.105018615722656,27.45333480834961,53.48491287231445,100.0,53.571022033691406,27.450759887695312,19.10247039794922,15.232528686523438,13.216973304748535,12.212773323059082,11.903952598571777,0,0,0,0
26.42006492614746,11.91479778289795,12.219724655151367,13.222026824951172,15.2360258102417,19.104795455932617,27.45332908630371,53.4460334777832,100.0,53.61122131347656,27.450763702392578,19.10269546508789,15.233430862426758,13.218375205993652,12.214887619018555,11.907184600830078,1,0,0,0
30.18107032775879,11.91301155090332,12.218621253967285,13.22126579284668,15.235629081726074,19.10470962524414,27.453306198120117,53.39053726196289,100.0,53.672367095947266,27.450775146484375,19.102785110473633,15.233820915222168,13.21914291381836,12.215984344482422,11.90896987915039,1,0,0,0
